No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
1;Besi 6.2;01/01/2019;-;-;-;68500
2;Besi 6.3;01/02/2019;-;-;-;74200
3;Besi 6.4;01/03/2019;-;-;-;69800
4;Besi 6.5;01/04/2019;-;-;-;81200
5;Besi 6.6;01/05/2019;-;-;-;83500
6;Besi 6.7;01/06/2019;-;-;-;70200
7;Besi 6.8;01/07/2019;-;-;-;96800
8;Besi 6.9;01/08/2019;-;-;-;85400
9;Besi 6.10;01/09/2019;-;-;-;72800
10;Besi 6.11;01/10/2019;-;-;-;91200
11;Besi 6.12;01/11/2019;-;-;-;84500
12;Besi 6.13;01/12/2019;-;-;-;98800
13;Besi 6.14;01/01/2020;-;-;-;82300
14;Besi 6.15;01/02/2020;-;-;-;86700
15;Besi 6.16;01/03/2020;-;-;-;71400
16;Besi 6.17;01/04/2020;-;-;-;90500
17;Besi 6.18;01/05/2020;-;-;-;87200
18;Besi 6.19;01/06/2020;-;-;-;92350
19;Besi 6.20;01/07/2020;-;-;-;111120
20;Besi 6.21;01/08/2020;-;-;-;100540
21;Besi 6.22;01/09/2020;-;-;-;102600
22;Besi 6.23;01/10/2020;-;-;-;88250
23;Besi 6.24;01/11/2020;-;-;-;95400
24;Besi 6.25;01/12/2020;-;-;-;105100
25;Besi 6.26;01/01/2021;-;-;-;88750
26;Besi 6.27;01/02/2021;-;-;-;91200
27;Besi 6.28;01/03/2021;-;-;-;98900
28;Besi 6.29;01/04/2021;-;-;-;104500
29;Besi 6.30;01/05/2021;-;-;-;91200
30;Besi 6.31;01/06/2021;-;-;-;85800
31;Besi 6.32;01/07/2021;-;-;-;102400
32;Besi 6.33;01/08/2021;-;-;-;115600
33;Besi 6.34;01/09/2021;-;-;-;92800
34;Besi 6.35;01/10/2021;-;-;-;101300
35;Besi 6.36;01/11/2021;-;-;-;94550
36;Besi 6.37;01/12/2021;-;-;-;91200
37;Besi 6.38;01/01/2022;-;-;-;108450
38;Besi 6.39;01/02/2022;-;-;-;78900
39;Besi 6.40;01/03/2022;-;-;-;105650
40;Besi 6.41;01/04/2022;-;-;-;92100
41;Besi 6.42;01/05/2022;-;-;-;88500
42;Besi 6.43;01/06/2022;-;-;-;88565
43;Besi 6.44;01/07/2022;-;-;-;98450
44;Besi 6.45;01/08/2022;-;-;-;84200
45;Besi 6.46;01/09/2022;-;-;-;102500
46;Besi 6.47;01/10/2022;-;-;-;89220
47;Besi 6.48;01/11/2022;-;-;-;83600
48;Besi 6.49;01/12/2022;-;-;-;99300
49;Besi 6.50;01/01/2023;-;-;-;96500
50;Besi 6.51;01/02/2023;-;-;-;95780
;;;;;;
;;;;;;
